initial equation: 1.848x-0.832y-59.947=0
learning rate: 0.0004
(T=  1) equation: 1.055x-0.999y-59.958=0, error: 23.00%
(T=188) equation: 0.958x-1.070y-59.878=0, error: 12.00%
(T=189) equation: 0.958x-1.069y-59.878=0, error: 12.00%
(T=190) equation: 0.957x-1.068y-59.877=0, error: 12.00%
(T=191) equation: 0.957x-1.067y-59.877=0, error: 12.00%
(T=192) equation: 0.956x-1.066y-59.877=0, error: 12.00%
(T=193) equation: 0.956x-1.065y-59.876=0, error: 12.00%
(T=194) equation: 0.952x-1.068y-59.876=0, error: 12.00%
(T=195) equation: 0.948x-1.070y-59.875=0, error: 12.00%
(T=196) equation: 0.976x-1.069y-59.875=0, error: 15.00%
(T=197) equation: 0.972x-1.069y-59.874=0, error: 14.00%
(T=198) equation: 0.968x-1.070y-59.874=0, error: 14.00%
(T=199) equation: 0.966x-1.070y-59.873=0, error: 13.00%
(T=200) equation: 0.963x-1.070y-59.873=0, error: 12.00%
(T=201) equation: 0.961x-1.070y-59.873=0, error: 12.00%
(T=202) equation: 0.959x-1.071y-59.872=0, error: 12.00%
(T=203) equation: 0.958x-1.070y-59.872=0, error: 12.00%
(T=204) equation: 0.958x-1.069y-59.871=0, error: 12.00%
(T=205) equation: 0.958x-1.068y-59.871=0, error: 12.00%
(T=206) equation: 0.957x-1.067y-59.871=0, error: 12.00%
(T=207) equation: 0.957x-1.066y-59.870=0, error: 12.00%
(T=208) equation: 0.956x-1.065y-59.870=0, error: 12.00%
(T=209) equation: 0.956x-1.065y-59.869=0, error: 12.00%
(T=210) equation: 0.952x-1.067y-59.869=0, error: 12.00%
(T=211) equation: 0.948x-1.070y-59.869=0, error: 12.00%
(T=212) equation: 0.976x-1.068y-59.868=0, error: 15.00%
(T=213) equation: 0.972x-1.069y-59.867=0, error: 14.00%
(T=214) equation: 0.968x-1.069y-59.867=0, error: 14.00%
(T=215) equation: 0.965x-1.069y-59.867=0, error: 14.00%
(T=216) equation: 0.963x-1.069y-59.866=0, error: 12.00%
(T=217) equation: 0.961x-1.070y-59.866=0, error: 12.00%
(T=218) equation: 0.959x-1.070y-59.865=0, error: 12.00%
(T=219) equation: 0.957x-1.070y-59.865=0, error: 12.00%
(T=220) equation: 0.956x-1.069y-59.865=0, error: 12.00%
(T=221) equation: 0.956x-1.068y-59.864=0, error: 12.00%
(T=222) equation: 0.952x-1.071y-59.864=0, error: 12.00%
(T=223) equation: 0.948x-1.073y-59.863=0, error: 12.00%
(T=224) equation: 0.976x-1.072y-59.863=0, error: 15.00%
(T=225) equation: 0.972x-1.072y-59.862=0, error: 14.00%
(T=226) equation: 0.968x-1.073y-59.862=0, error: 14.00%
(T=227) equation: 0.966x-1.073y-59.861=0, error: 13.00%
(T=228) equation: 0.963x-1.073y-59.861=0, error: 12.00%
(T=229) equation: 0.961x-1.073y-59.861=0, error: 12.00%
(T=230) equation: 0.959x-1.073y-59.860=0, error: 12.00%
(T=231) equation: 0.959x-1.072y-59.860=0, error: 12.00%
(T=232) equation: 0.958x-1.072y-59.859=0, error: 12.00%
(T=233) equation: 0.958x-1.071y-59.859=0, error: 12.00%
(T=234) equation: 0.957x-1.070y-59.859=0, error: 12.00%
(T=235) equation: 0.957x-1.069y-59.858=0, error: 12.00%
(T=236) equation: 0.956x-1.068y-59.858=0, error: 12.00%
(T=237) equation: 0.956x-1.067y-59.857=0, error: 12.00%
(T=238) equation: 0.952x-1.070y-59.857=0, error: 12.00%
(T=239) equation: 0.948x-1.072y-59.857=0, error: 12.00%
(T=240) equation: 0.976x-1.071y-59.856=0, error: 15.00%
(T=241) equation: 0.972x-1.071y-59.855=0, error: 14.00%
(T=242) equation: 0.968x-1.072y-59.855=0, error: 14.00%
(T=243) equation: 0.966x-1.072y-59.855=0, error: 13.00%
(T=244) equation: 0.963x-1.072y-59.854=0, error: 12.00%
(T=245) equation: 0.961x-1.072y-59.854=0, error: 12.00%
(T=246) equation: 0.959x-1.073y-59.853=0, error: 12.00%
(T=247) equation: 0.958x-1.072y-59.853=0, error: 12.00%
(T=248) equation: 0.958x-1.071y-59.853=0, error: 12.00%
(T=249) equation: 0.957x-1.070y-59.852=0, error: 12.00%
(T=250) equation: 0.957x-1.069y-59.852=0, error: 12.00%
